game_id,datetime,phase,opening_acc,first_move,game_no
f9de649b8c7a4cf58706386d3ae1cc9f,2026-05-27 22:13:22+00:00,P2-visualization,90.9,e4,49
f97ecff5a61b464785d3147e85747a2f,2026-05-27 22:23:49+00:00,P2-visualization,97.15,e4,50
a9b051dacf684f02a734212d05d5d7f5,2026-05-27 22:34:31+00:00,P2-visualization,95.675,e4,51
72aa5cfc77534f5d8dd2a9d974daac18,2026-05-27 22:54:25+00:00,P2-visualization,97.5625,e4,52
c323f571b55b48c890832cc3f1f57683,2026-05-27 23:01:12+00:00,P2-visualization,98.0125,e4,53
46e92576a0424c9781b71238fe7e3821,2026-05-27 23:18:28+00:00,P2-visualization,96.65,e4,54
a5bf9f5c4ecb49eb8a8795fa4ebf9598,2026-05-27 23:23:05+00:00,P2-visualization,96.1625,e4,55
3aea2f43c23446cb802b2293f6e6fbb6,2026-06-12 14:11:13+00:00,P3-mating-blunders,89.3625,e4,56
9b0d7590cd574d89bb587ff452447bd2,2026-06-15 07:30:24+00:00,P3-mating-blunders,92.3125,e4,57
c94fbef5cdf64367abe962f8c4fd402f,2026-06-15 07:56:25+00:00,P3-mating-blunders,71.4875,e4,58
1b3e94c0c98c4454a9155135d0b57b24,2026-06-15 09:41:03+00:00,P3-mating-blunders,87.5625,e4,59
d9a0fba241c94a4dbd512c9d763d9f68,2026-06-15 20:35:24+00:00,P3-mating-blunders,91.9125,e4,60
bf4e1dd77e18496098d83e3fd707ef44,2026-06-15 21:17:45+00:00,P3-mating-blunders,93.4625,e4,61
62e9b58d18ba45f5af809fbbc27862d2,2026-06-20 14:39:29+00:00,P3-mating-blunders,85.8625,e4,62
ad9b71c379434c15a44398603968bd32,2026-06-20 14:53:07+00:00,P3-mating-blunders,89.4125,e4,63
bbc406c9569946d1a2026d8b92cd65aa,2026-06-21 21:26:55+00:00,P3-mating-blunders,83.6875,e4,64
d655d178c7d64bc6862a8f3ef6ddde6b,2026-06-21 21:36:42+00:00,P3-mating-blunders,96.275,e4,65
57085b341c564ec69df25855c852c842,2026-06-21 21:46:15+00:00,P3-mating-blunders,90.85,e4,66
8f8d08d4d2b5416d94aa4642d5c9bedb,2026-06-21 21:56:14+00:00,P3-mating-blunders,96.95,e4,67
cfb1b24b305c47c4b0e384fd18afbb6e,2026-06-21 22:20:21+00:00,P3-mating-blunders,92.9875,e4,68
1cf90811adab4331980ad9be0f60bc8f,2026-06-21 22:28:15+00:00,P3-mating-blunders,98.3,e4,69
1d7e7e1a643c49df8bf396e989530a8c,2026-06-21 22:34:19+00:00,P3-mating-blunders,95.4125,e4,70
da591796435548e7a36f1a61749908fa,2026-06-21 22:48:29+00:00,P3-mating-blunders,93.4,e4,71
cc0c15da7a234e59ab4052406f095c35,2026-06-21 22:58:36+00:00,P3-mating-blunders,90.0125,e4,72
